result_id,randomized,type,count,inserted,insert_time,search,search_time,removed,remove_time
1,False,AVL,10000,9872,546,1041,1,914,332
1,False,AVL,15000,14723,1341,2203,2,2006,1217
1,False,AVL,20000,19486,2689,3885,3,3520,3002
1,False,AVL,25000,24207,4329,6030,4,5340,5344
1,False,AVL,30000,28836,6491,8616,5,7478,9226
1,False,BST,10000,9872,4,1041,1,914,3
1,False,BST,15000,14723,5,2203,3,1999,5
1,False,BST,20000,19486,7,3885,4,3425,7
1,False,BST,25000,24207,8,6030,5,5228,9
1,False,BST,30000,28836,10,8616,6,7288,12
1,False,LIST,10000,9871,467,957,769,879,1171
1,False,LIST,15000,14710,1143,2131,1937,2022,3084
1,False,LIST,20000,19484,2528,3844,3125,3474,4499
1,False,LIST,25000,24194,3621,6029,5446,5392,7030
1,False,LIST,30000,28809,5787,8603,8626,7538,12015
1,True,AVL,10000,10000,1393,998,2,965,455
1,True,AVL,15000,15000,3483,2252,2,2065,1574
1,True,AVL,20000,20000,6598,3913,4,3636,3906
1,True,AVL,25000,25000,11093,6209,5,5469,7749
1,True,AVL,30000,30000,16374,8930,8,7819,13970
1,True,BST,10000,10000,4,998,1,965,4
1,True,BST,15000,15000,7,2252,3,1974,6
1,True,BST,20000,20000,8,3913,4,3528,8
1,True,BST,25000,25000,12,6209,6,5469,11
1,True,BST,30000,30000,13,8930,6,7819,13
1,True,LIST,10000,10000,1006,1007,982,936,1747
1,True,LIST,15000,15000,2364,2236,2362,2111,4437
1,True,LIST,20000,20000,4607,4050,4463,3629,8142
1,True,LIST,25000,25000,8976,6265,7735,5588,12603
1,True,LIST,30000,30000,14131,9081,11317,7725,18151
2,False,AVL,10000,9872,530,1041,1,914,335
2,False,AVL,15000,14723,1484,2203,2,2006,1377
2,False,AVL,20000,19486,3054,3885,5,3520,3514
2,False,AVL,25000,24207,4820,6030,4,5340,5927
2,False,AVL,30000,28836,7282,8616,6,7478,10455
2,False,BST,10000,9872,4,1041,1,914,3
2,False,BST,15000,14723,5,2203,3,1999,6
2,False,BST,20000,19486,7,3885,4,3425,8
2,False,BST,25000,24207,8,6030,5,5228,9
2,False,BST,30000,28836,9,8616,6,7288,12
2,False,LIST,10000,9871,487,957,755,879,1167
2,False,LIST,15000,14710,1375,2131,1883,2022,2692
2,False,LIST,20000,19484,2230,3844,3177,3474,4562
2,False,LIST,25000,24194,3527,6029,5262,5392,7732
2,False,LIST,30000,28809,5438,8603,7880,7538,9838
2,True,AVL,10000,10000,1330,998,1,965,496
2,True,AVL,15000,15000,3902,2252,3,2065,1829
2,True,AVL,20000,20000,7144,3913,5,3636,4142
2,True,AVL,25000,25000,11353,6209,4,5469,7398
2,True,AVL,30000,30000,15901,8930,10,7819,13991
2,True,BST,10000,10000,5,998,2,965,3
2,True,BST,15000,15000,7,2252,4,1974,6
2,True,BST,20000,20000,10,3913,5,3528,10
2,True,BST,25000,25000,13,6209,6,5469,13
2,True,BST,30000,30000,14,8930,8,7819,15
2,True,LIST,10000,10000,961,1007,910,936,1848
2,True,LIST,15000,15000,2679,2236,2478,2111,4967
2,True,LIST,20000,20000,4635,4050,3654,3629,6423
2,True,LIST,25000,25000,8026,6265,5940,5588,9787
2,True,LIST,30000,30000,14009,9081,11788,7725,18309
3,False,AVL,10000,9872,524,1041,1,914,326
3,False,AVL,15000,14723,1286,2203,2,2006,1165
3,False,AVL,20000,19486,2716,3885,3,3520,2854
3,False,AVL,25000,24207,4694,6030,5,5340,7325
3,False,AVL,30000,28836,8178,8616,8,7478,10753
3,False,BST,10000,9872,5,1041,2,914,5
3,False,BST,15000,14723,7,2203,3,1999,6
3,False,BST,20000,19486,9,3885,5,3425,9
3,False,BST,25000,24207,10,6030,6,5228,11
3,False,BST,30000,28836,11,8616,8,7288,14
3,False,LIST,10000,9871,545,957,920,879,1508
3,False,LIST,15000,14710,1463,2131,1977,2022,3068
3,False,LIST,20000,19484,2460,3844,3684,3474,5277
3,False,LIST,25000,24194,4398,6029,5456,5392,11070
3,False,LIST,30000,28809,6292,8603,8876,7538,11770
3,True,AVL,10000,10000,1571,998,1,965,475
3,True,AVL,15000,15000,4176,2252,2,2065,1582
3,True,AVL,20000,20000,6634,3913,3,3636,3745
3,True,AVL,25000,25000,10428,6209,5,5469,7800
3,True,AVL,30000,30000,15149,8930,5,7819,11657
3,True,BST,10000,10000,3,998,1,965,3
3,True,BST,15000,15000,5,2252,3,1974,5
3,True,BST,20000,20000,7,3913,3,3528,7
3,True,BST,25000,25000,9,6209,4,5469,20
3,True,BST,30000,30000,20,8930,10,7819,14
3,True,LIST,10000,10000,903,1007,846,936,1536
3,True,LIST,15000,15000,2241,2236,1975,2111,3641
3,True,LIST,20000,20000,4887,4050,5004,3629,6673
3,True,LIST,25000,25000,8226,6265,7031,5588,10782
3,True,LIST,30000,30000,12056,9081,10561,7725,16769
4,False,AVL,10000,9872,664,1041,1,914,461
4,False,AVL,15000,14723,1821,2203,2,2006,1594
4,False,AVL,20000,19486,3265,3885,3,3520,3699
4,False,AVL,25000,24207,5321,6030,4,5340,6680
4,False,AVL,30000,28836,9112,8616,7,7478,10265
4,False,BST,10000,9872,5,1041,2,914,4
4,False,BST,15000,14723,6,2203,4,1999,6
4,False,BST,20000,19486,9,3885,5,3425,10
4,False,BST,25000,24207,10,6030,7,5228,13
4,False,BST,30000,28836,13,8616,9,7288,16
4,False,LIST,10000,9871,604,957,956,879,1444
4,False,LIST,15000,14710,1431,2131,2186,2022,11079
4,False,LIST,20000,19484,9273,3844,14727,3474,20501
4,False,LIST,25000,24194,15866,6029,21090,5392,30616
4,False,LIST,30000,28809,22424,8603,30884,7538,43857
4,True,AVL,10000,10000,5497,998,7,965,1830
4,True,AVL,15000,15000,12835,2252,10,2065,5977
4,True,AVL,20000,20000,24885,3913,15,3636,14008
4,True,AVL,25000,25000,41260,6209,19,5469,27636
